id;user_id;fragebogen_id;frage_id;antwort;erstellt_am
00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001;"Ich versuche zu vermitteln.";2024-01-02
00000000-0000-0000-0000-000000000002;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000002;"Kreativ, Teamfähig";2024-01-02
00000000-0000-0000-0000-000000000003;00000000-0000-0000-0000-000000000002;00000000-0000-0000-0000-000000000003;00000000-0000-0000-0000-000000000003;"Ja";2024-01-03
00000000-0000-0000-0000-000000000004;00000000-0000-0000-0000-000000000003;00000000-0000-0000-0000-000000000004;00000000-0000-0000-0000-000000000004;"Ich habe mal...";2024-01-03
00000000-0000-0000-0000-000000000005;00000000-0000-0000-0000-000000000004;00000000-0000-0000-0000-000000000005;00000000-0000-0000-0000-000000000005;"Oft";2024-01-04
00000000-0000-0000-0000-000000000006;00000000-0000-0000-0000-000000000005;00000000-0000-0000-0000-000000000008;00000000-0000-0000-0000-000000000006;"Unruhe,Schweiß";2024-01-05
00000000-0000-0000-0000-000000000007;00000000-0000-0000-0000-000000000006;00000000-0000-0000-0000-000000000007;00000000-0000-0000-0000-000000000007;"Kooperativ";2024-01-05
00000000-0000-0000-0000-000000000008;00000000-0000-0000-0000-000000000007;00000000-0000-0000-0000-000000000009;00000000-0000-0000-0000-000000000008;"Detailliert geplant";2024-01-06
00000000-0000-0000-0000-000000000009;00000000-0000-0000-0000-000000000008;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000009;"Ja";2024-01-06
00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000009;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000010;"Ich höre aktiv zu";2024-01-07
00000000-0000-0000-0000-000000000011;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000007;00000000-0000-0000-0000-000000000011;"Ich versuche, mit klaren Zielen und Anerkennung zu motivieren.";2024-01-08
00000000-0000-0000-0000-000000000012;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000009;00000000-0000-0000-0000-000000000012;"Ich priorisiere nach Dringlichkeit und kommuniziere transparent.";2024-01-08
00000000-0000-0000-0000-000000000013;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000008;00000000-0000-0000-0000-000000000013;"Ich sehe Veränderungen als Chance für Verbesserung.";2024-01-08
00000000-0000-0000-0000-000000000014;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000014;"Ich habe einen Konflikt im Projekt durch Moderation gelöst.";2024-01-08
00000000-0000-0000-0000-000000000015;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000008;00000000-0000-0000-0000-000000000015;"Atemübungen, Priorisierung, kurze Pausen.";2024-01-08
00000000-0000-0000-0000-000000000016;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000003;00000000-0000-0000-0000-000000000016;"Ich fasse nach, frage aktiv nach Feedback.";2024-01-08
00000000-0000-0000-0000-000000000017;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000004;00000000-0000-0000-0000-000000000017;"Ich nutze Brainstorming und Perspektivwechsel.";2024-01-08
00000000-0000-0000-0000-000000000018;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000009;00000000-0000-0000-0000-000000000018;"Ich teile Aufgaben nach Wichtigkeit und Aufwand ein.";2024-01-08
00000000-0000-0000-0000-000000000019;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000005;00000000-0000-0000-0000-000000000019;"Ich spreche Feedback sachlich, direkt und lösungsorientiert an.";2024-01-08
00000000-0000-0000-0000-000000000020;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000020;"Ich höre empathisch zu und frage aktiv nach Bedürfnissen.";2024-01-08
00000000-0000-0000-0000-000000000021;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000008;00000000-0000-0000-0000-000000000021;"Ich analysiere die Situation, lerne daraus und versuche es erneut.";2024-01-09
00000000-0000-0000-0000-000000000022;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000002;00000000-0000-0000-0000-000000000022;"Koordinator";2024-01-09
00000000-0000-0000-0000-000000000023;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000023;"Ich versuche, das Problem in Teilprobleme zu zerlegen und gezielt Lösungen zu finden.";2024-01-09
00000000-0000-0000-0000-000000000024;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000009;00000000-0000-0000-0000-000000000024;"Ich erstelle To-do-Listen, nutze Zeitblöcke und überprüfe regelmäßig den Fortschritt.";2024-01-09
00000000-0000-0000-0000-000000000025;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000007;00000000-0000-0000-0000-000000000025;"Empathie, Entscheidungsfreude";2024-01-09
00000000-0000-0000-0000-000000000026;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000005;00000000-0000-0000-0000-000000000026;"Ich nehme Kritik ernst, prüfe sie sachlich und arbeite daran.";2024-01-09
00000000-0000-0000-0000-000000000027;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000002;00000000-0000-0000-0000-000000000027;"Ich lobe gute Leistungen gezielt und danke für Engagement.";2024-01-09
00000000-0000-0000-0000-000000000028;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000007;00000000-0000-0000-0000-000000000028;"Konstruktives Feedback und sichtbare Ergebnisse motivieren mich.";2024-01-09
00000000-0000-0000-0000-000000000029;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000029;"Ich versuche, andere Perspektiven zu verstehen und respektiere Unterschiede.";2024-01-09
00000000-0000-0000-0000-000000000030;00000000-0000-0000-0000-000000000010;00000000-0000-0000-0000-000000000009;00000000-0000-0000-0000-000000000030;"Ich verwende digitale Tools, Wochenplanung und Tagesziele.";2024-01-09
