id;text;typ;fragebogen_id;kategorie_id
00000000-0000-0000-0000-000000000001;Wie drücken Sie sich in stressigen Gesprächen aus?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001
00000000-0000-0000-0000-000000000002;Wie stellen Sie sicher, dass Ihre Botschaft richtig verstanden wird?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001
00000000-0000-0000-0000-000000000003;Wie gehen Sie mit Gesprächspausen oder Schweigen um?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001
00000000-0000-0000-0000-000000000004;Wie passen Sie Ihre Sprache an unterschiedliche Zielgruppen an?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001
00000000-0000-0000-0000-000000000005;Wie aktiv hören Sie in Gesprächen zu?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001
00000000-0000-0000-0000-000000000006;Wie gehen Sie mit Kritik an Ihrer Ausdrucksweise um?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001
00000000-0000-0000-0000-000000000007;Wie vermitteln Sie komplexe Sachverhalte verständlich?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001
00000000-0000-0000-0000-000000000008;Wie nutzen Sie nonverbale Kommunikation gezielt?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001
00000000-0000-0000-0000-000000000009;Wie bereiten Sie sich auf ein wichtiges Gespräch vor?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001
00000000-0000-0000-0000-000000000010;Wie vermeiden Sie Missverständnisse im Berufsalltag?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000001
00000000-0000-0000-0000-000000000011;Wie verhalten Sie sich in Gruppendiskussionen?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000002
00000000-0000-0000-0000-000000000012;Wie unterstützen Sie Kolleg:innen in schwierigen Phasen?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000002
00000000-0000-0000-0000-000000000013;Wie lösen Sie Meinungsverschiedenheiten im Team?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000002
00000000-0000-0000-0000-000000000014;Wie gehen Sie mit unterschiedlichen Arbeitsstilen um?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000002
00000000-0000-0000-0000-000000000015;Wie tragen Sie zur positiven Teamatmosphäre bei?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000002
00000000-0000-0000-0000-000000000016;Wie integrieren Sie neue Teammitglieder?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000002
00000000-0000-0000-0000-000000000017;Wie geben Sie konstruktives Feedback im Team?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000002
00000000-0000-0000-0000-000000000018;Wie gehen Sie mit Rollenkonflikten in Gruppen um?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000002
00000000-0000-0000-0000-000000000019;Wie fördern Sie gemeinsame Zielerreichung?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000002
00000000-0000-0000-0000-000000000020;Wie verhalten Sie sich bei Teamentscheidungen, die Sie selbst nicht befürworten?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000002
00000000-0000-0000-0000-000000000021;Wie entwickeln Sie neue Ideen in Ihrem Arbeitsbereich?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000022;Wie gehen Sie mit kreativem Blockaden um?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000023;Wie inspirieren Sie sich für neue Lösungswege?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000024;Wie fördern Sie kreative Prozesse im Team?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000025;Wie setzen Sie unkonventionelle Ideen in die Tat um?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000026;Wie gehen Sie mit Risiken bei innovativen Vorschlägen um?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000027;Wie reagieren Sie auf Kritik an kreativen Lösungen?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000028;Wie kombinieren Sie Altbewährtes mit Neuem?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000029;Wie bewerten Sie die Umsetzbarkeit Ihrer Ideen?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000030;Wie schaffen Sie kreative Freiräume im Alltag?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000031;Wie oft reflektieren Sie Ihre Arbeitsweise?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000004
00000000-0000-0000-0000-000000000032;Wie gehen Sie mit eigenen Fehlern um?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000004
00000000-0000-0000-0000-000000000033;Wie setzen Sie Feedback in Verbesserungen um?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000004
00000000-0000-0000-0000-000000000034;Wie erkennen Sie persönliche Entwicklungsfelder?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000004
00000000-0000-0000-0000-000000000035;Wie bewerten Sie Ihre Leistungen objektiv?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000004
00000000-0000-0000-0000-000000000036;Wie gehen Sie mit innerer Kritik um?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000004
00000000-0000-0000-0000-000000000037;Wie oft holen Sie sich bewusst Rückmeldungen?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000004
00000000-0000-0000-0000-000000000038;Wie dokumentieren Sie Ihre Lernerfahrungen?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000004
00000000-0000-0000-0000-000000000039;Wie hinterfragen Sie Ihre Entscheidungen?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000004
00000000-0000-0000-0000-000000000040;Wie setzen Sie sich persönliche Ziele zur Weiterentwicklung?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000004
00000000-0000-0000-0000-000000000041;Wie gehen Sie systematisch an Probleme heran?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000005
00000000-0000-0000-0000-000000000042;Wie sammeln Sie Informationen zur Problemanalyse?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000005
00000000-0000-0000-0000-000000000043;Wie priorisieren Sie Lösungsansätze?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000005
00000000-0000-0000-0000-000000000044;Wie entwickeln Sie kreative Lösungen unter Druck?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000005
00000000-0000-0000-0000-000000000045;Wie beziehen Sie andere in den Lösungsprozess ein?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000005
00000000-0000-0000-0000-000000000046;Wie vermeiden Sie typische Denkfehler?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000005
00000000-0000-0000-0000-000000000047;Wie dokumentieren Sie Ihre Lösungswege?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000005
00000000-0000-0000-0000-000000000048;Wie bewerten Sie die Wirksamkeit Ihrer Lösung?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000005
00000000-0000-0000-0000-000000000049;Wie entscheiden Sie unter Unsicherheit?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000005
00000000-0000-0000-0000-000000000050;Wie lernen Sie aus gescheiterten Lösungsversuchen?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000005
00000000-0000-0000-0000-000000000051;Wie strukturieren Sie Ihre Arbeitswoche?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000006
00000000-0000-0000-0000-000000000052;Wie priorisieren Sie Aufgaben bei Zeitdruck?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000006
00000000-0000-0000-0000-000000000053;Wie organisieren Sie komplexe Projekte?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000006
00000000-0000-0000-0000-000000000054;Wie gehen Sie mit Terminkonflikten um?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000006
00000000-0000-0000-0000-000000000055;Wie behalten Sie den Überblick über Fristen?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000006
00000000-0000-0000-0000-000000000056;Wie setzen Sie digitale Tools zur Planung ein?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000006
00000000-0000-0000-0000-000000000057;Wie koordinieren Sie Aufgaben im Team?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000006
00000000-0000-0000-0000-000000000058;Wie gehen Sie mit unerwarteten Unterbrechungen um?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000006
00000000-0000-0000-0000-000000000059;Wie passen Sie Ihre Planung flexibel an?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000006
00000000-0000-0000-0000-000000000060;Wie schaffen Sie Ordnung im Arbeitsumfeld?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000006
00000000-0000-0000-0000-000000000131;Wie reagieren Sie auf Stresssituationen?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000007
00000000-0000-0000-0000-000000000132;Wie erkennen Sie Ihre Belastungsgrenzen?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000007
00000000-0000-0000-0000-000000000133;Wie bleiben Sie in hektischen Phasen handlungsfähig?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000007
00000000-0000-0000-0000-000000000134;Wie regenerieren Sie nach hoher Belastung?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000007
00000000-0000-0000-0000-000000000135;Wie bewältigen Sie mehrere Aufgaben gleichzeitig?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000007
00000000-0000-0000-0000-000000000136;Wie kommunizieren Sie Überforderung?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000007
00000000-0000-0000-0000-000000000137;Wie sorgen Sie für Ihre mentale Gesundheit?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000007
00000000-0000-0000-0000-000000000138;Wie reagieren Sie auf Druck von außen?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000007
00000000-0000-0000-0000-000000000139;Wie bewahren Sie Ruhe in Krisensituationen?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000007
00000000-0000-0000-0000-000000000140;Wie behalten Sie unter Stress Ihre Prioritäten im Blick?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000007
00000000-0000-0000-0000-000000000061;Wie erkennen Sie emotionale Signale Ihres Gegenübers?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000008
00000000-0000-0000-0000-000000000062;Wie reagieren Sie auf emotionale Ausbrüche anderer?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000008
00000000-0000-0000-0000-000000000063;Wie zeigen Sie Verständnis in Gesprächen?;MULTIPLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000008
00000000-0000-0000-0000-000000000064;Wie achten Sie auf nonverbale Hinweise bei anderen?;FREITEXT;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000008
00000000-0000-0000-0000-000000000065;Wie gehen Sie mit emotional belasteten Menschen um?;SINGLE_CHOICE;00000000-0000-0000-0000-000000000001;00000000-0000-0000-0000-000000000008
